Zomi,English,Myanmar
ZOLAI SIMBU TAN KHAT (Sinna),Zomi Primer Book One (Learning),ဇိုစာ ဖတ်စာအုပ် တန်းပထမ (သင်ခန်းစာ)
ZOLAI SIMBU KOMITI,Zomi Primer Book Committee,ဇိုစာ ဖတ်စာအုပ် ကော်မတီ
Thu Masa,Foreword / Introduction,အမှာစာ
"Kampau in minam kemcinga, lai in minam kampau, ngeina le tangthute kemcing hi.","Language preserves a nation, literature preserves a nation's language, culture, and history.",စကားသည် လူမျိုးကို ထိန်းသိမ်းပြီး၊ စာပေသည် လူမျိုး၏ စကား၊ ယဉ်ကျေးမှုနှင့် သမိုင်းကို ထိန်းသိမ်းသည်။
"Ei, Zomite in i kampau, i ngeina le i tangthûte akhang akhanga kam bek tawh i ciamteh ciangin a mangthang tampi om khin hi.","We, the Zomi people, if we only preserve our language, culture, and history verbally from generation to generation, much has already been lost.",ကျွန်ုပ်တို့ ဇိုလူမျိုးတို့သည် မိမိတို့၏ စကား၊ ယဉ်ကျေးမှုနှင့် သမိုင်းကို နှုတ်ဖြင့်သာ တစ်ခေတ်ပြီးတစ်ခေတ် လက်ဆင့်ကမ်း မှတ်သားမည်ဆိုပါက များစွာ ပျောက်ဆုံးသွားပြီဖြစ်သည်။
"Tua hi-a i kam ciik, i ngeina le i tangthu hoih tampitak laibu a neih ding kisam ta hi.","Therefore, it is now necessary to have many good books about our profound language, culture, and history.",ထို့ကြောင့် ကျွန်ုပ်တို့၏ နက်ရှိုင်းသော စကား၊ ယဉ်ကျေးမှုနှင့် သမိုင်းကြောင်းဆိုင်ရာ စာအုပ်ကောင်းများစွာ ရှိရန် လိုအပ်လာပြီဖြစ်သည်။
Tua ahimanin tutungin Amerika-a om Zomi Baptist Church in Zolai i kepcing zawh mading deihna tawh Zolai Simbu Bawl Komiti-te bawlsa hih Zolai Simbute khet kik nading sum hong sik uh ahi manin i mibup in lungdamna i ko hi.,"Because of this, we express our gratitude on behalf of all the people to the Zomi Baptist Church in America for providing the funds to reprint these Zomi Primer books made by the Zomi Primer Book Committee, with the desire to preserve the Zomi language.",ထို့ကြောင့် ဇိုစာကို ထိန်းသိမ်းလိုသော ဆန္ဒဖြင့် ဇိုစာဖတ်စာအုပ် ကော်မတီမှ ပြုစုထားသော ဤဇိုဖတ်စာအုပ်များကို ပြန်လည်ပုံနှိပ်ရန် အမေရိကန်ပြည်ထောင်စုရှိ Zomi Baptist Church မှ ရန်ပုံငွေများ ပံ့ပိုးပေးသည့်အတွက် လူထုတစ်ရပ်လုံးကိုယ်စား ကျေးဇူးတင်ရှိပါကြောင်း ပြောကြားအပ်ပါသည်။
Tua banah kum sima Zolai Simbu i neih zawh nadinga a hanciam den H. Gin En Cin tung le i tu i tate Zolai hong hilhsak Zolai siate tungah Zomi bup i lungdam hi.,"In addition, the whole Zomi nation is grateful to H. Gin En Cin, who constantly strives so we can have the Zomi Primer every year, and to the Zomi teachers who teach Zomi to our children.",ထို့အပြင် နှစ်စဉ် ဇိုဖတ်စာအုပ် ရရှိနိုင်ရန် အစဉ်တစိုက် ကြိုးပမ်းပေးသော H. Gin En Cin နှင့် ကျွန်ုပ်တို့၏ သားသမီးများကို ဇိုစာ သင်ကြားပေးသော ဇိုစာပြဆရာများအား ဇိုတစ်မျိုးသားလုံးက ကျေးဇူးတင်ရှိပါသည်။
Mailamah Zomite thutak tawh khangto a thuhoih fampi Zolai a i neih zawh nadingin i hanciam lai ding hi.,"In the future, we will continue to strive so that the Zomi people can develop with truth and we can have many good books in Zomi.",နောင်အနာဂတ်တွင် ဇိုလူမျိုးများ သမ္မာတရားဖြင့် တိုးတက်စေရန်နှင့် ဇိုစာဖြင့် စာအုပ်ကောင်းများစွာ ရရှိနိုင်ရန် ကျွန်ုပ်တို့ ဆက်လက်ကြိုးပမ်းသွားမည်ဖြစ်သည်။
THEIH DING,Things to Know,သိမှတ်ဖွယ်ရာ
